Date,Close,Open
2000-08-31,34.4375,35.1875
2000-09-01,35.3125,34.8125
2000-09-05,36.1875,35.375
2000-09-06,36.5625,36.25
2000-09-07,36.5,36.625
2000-09-08,37.6875,36.4375
2000-09-11,37.625,37.875
2000-09-12,37.640625,37.9375
2000-09-13,38.375,37.625
2000-09-14,37.1875,38.4375
2000-09-15,35.3125,38.0625
2000-09-18,34.0625,35.3125
2000-09-19,33.4375,34.6875
2000-09-20,34.25,33.625
2000-09-21,35.375,34.25
2000-09-22,34.9375,34.8125
2000-09-25,34.875,35.0
2000-09-26,33.8125,34.6875
2000-09-27,34.5625,34.125
2000-09-28,35.875,34.8125
2000-09-29,34.9375,35.9375
2000-10-02,32.9375,33.5625
2000-10-03,33.828125,33.25
2000-10-04,34.484375,34.0
2000-10-05,33.625,34.46875
2000-10-06,33.5,33.90625
2000-10-09,34.1875,33.4375
2000-10-10,33.0,34.3125
2000-10-11,30.625,32.625
2000-10-12,31.25,30.0
2000-10-13,32.125,30.625
2000-10-16,32.0,32.0625
2000-10-17,32.0,32.09375
2000-10-18,33.0,31.875
2000-10-19,34.9375,33.125
2000-10-20,34.3125,33.75
2000-10-23,33.5625,34.1875
2000-10-24,33.9375,33.75
2000-10-25,33.0,34.0
2000-10-26,33.0,33.03125
2000-10-27,33.6875,33.0625
2000-10-30,34.5625,33.71875
2000-10-31,36.625,35.0
2000-11-01,35.75,36.6875
2000-11-02,36.1875,33.875
2000-11-03,35.3125,35.9375
2000-11-06,34.5625,35.5
2000-11-07,35.75,33.75
2000-11-08,35.5625,36.90625
2000-11-09,34.0625,35.5
2000-11-10,33.0,33.9375
2000-11-13,34.4375,32.75
2000-11-14,36.875,34.625
2000-11-15,36.75,36.65625
2000-11-16,35.3125,36.40625
2000-11-17,36.0625,35.3125
2000-11-20,34.9375,35.9375
2000-11-21,36.0625,35.1875
2000-11-22,34.5,35.625
2000-11-24,35.4375,34.75
2000-11-27,36.6875,35.5625
2000-11-28,35.25,36.75
2000-11-29,36.4375,35.25
2000-11-30,32.625,34.6875
2000-12-01,32.625,33.25
2000-12-04,34.125,32.6875
2000-12-05,35.3125,33.8125
2000-12-06,33.625,35.3125
